,Average1,Average5,TasksTotal,CpuUs,CpuSy,CpuId,MemBuff,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,species
1174,0.24983594481016563,0.3298619259321175,-0.5896949958828924,-0.760356374248886,-0.9810341298933545,0.0364840198309345,-1.0494478839474772,1.9550433743726316,-0.8463575159450196,0.09521867221695854,-0.1642438102769864,-0.9447002643849303,fio
807,0.21915992759086408,0.3099478214494524,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,-0.1426714277704403,-1.0591871306981988,2.078774753561067,-0.8463575159450196,-0.18429341308503047,-0.1642438102769864,-0.9403418639106766,fio
719,0.284894250203653,0.31492634757011856,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,-0.05934331260701012,-1.0614332621889762,2.0540284777233797,-0.837856277130028,-0.18198339585112974,-0.1642438102769864,-0.9420852241003781,fio
2392,0.3024234029003967,0.3398189781734498,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.07600893563969639,-1.0178784028110468,2.0243329467181552,-0.8436525763220677,-0.3991250158377989,-0.1642438102769864,-0.9439043825591971,fio
919,0.25860052115853727,0.3298619259321175,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.14481056954339414,-1.0563305253962814,1.9203985881998697,-0.8450050461335437,-0.5977864979532621,-0.1642438102769864,-0.9437906851555208,fio
1541,0.2016307748941204,0.3074585583891193,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.3781292920009985,-1.0401104680597848,2.0540284777233797,-0.8450050461335437,-0.8749885660213504,-0.1642438102769864,-0.9433737946753749,fio
1082,0.21696878350377116,0.3174156106304516,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,-0.1426714277704403,-1.0520469053628378,2.0589777328909173,-0.8453914660796796,-0.18198339585112974,-0.1642438102769864,-0.9439422816937557,fio
265,0.2564093770714444,0.1904631945534618,-0.5623270162314438,-0.7567046793692014,-0.9810341298933545,0.2031402501577949,-1.0734237921082062,2.1134195397338287,-0.8463575159450196,0.34932056794603944,-0.1642438102769864,-0.9451550539996351,fio
357,0.2607916652456306,0.24522698188079092,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.10517377594689649,-1.0708505290815014,2.0045359260480056,-0.8363105973454841,-0.3205844298851739,-0.1642438102769864,-0.9408724517944987,fio
1183,0.25202708889725856,0.33235118899245053,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.0492727269046185,2.0490792225558425,-0.846159668932598,-0.459185463919218,-0.1642438102769864,-0.9427674085224352,fio
